Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,GIT,LINUX,DOCKER,AWS,KUBERNETES,JAVASCRIPT,TYPESCRIPT,REACT,VUE,ANGULAR,HTML_CSS,WEBPACK,NODEJS
Инженер сопровождения,https://hh.ru/vacancy/118706377,Т1,не указана,От 1 года до 3 лет,Да,1,1,0,0,1,0,0,0,0,0,0,0,0
Тестировщик (AQA Junior),https://hh.ru/vacancy/118349641,R-Style Softlab (Эр-Стайл Софтлаб),не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0,0
C++ Developer/Разработчик (нативная разработка),https://hh.ru/vacancy/119139054,ЛАЙФСТРИМ,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик в Здравсити,https://hh.ru/vacancy/118142041,Ригла,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Frontend-разработчик,https://hh.ru/vacancy/118157317,Морозова Илона Владимировна,до 200000 RUR,От 3 до 6 лет,Да,0,0,1,0,0,1,1,1,1,0,1,1,0
"Продуктовый аналитик, Управление логистикой (FBS/realFBS)",https://hh.ru/vacancy/118860472,Ozon,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик,https://hh.ru/vacancy/83830444,Bell Integrator,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Младший аналитик,https://hh.ru/vacancy/119130478,АЛЬФАКОМ,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0,0
Разработчик 1С (Согаз-Жизнь),https://hh.ru/vacancy/119088081,СОГАЗ,не указана,От 3 до 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0,0
Senior backend developer (node.js),https://hh.ru/vacancy/119176882,Yoonion,не указана,Более 6 лет,Да,0,0,1,1,0,1,1,1,0,0,0,0,1
.NET разработчик,https://hh.ru/vacancy/118238162,РОВИ Факторинг Плюс,не указана,От 1 года до 3 лет,Нет,1,0,1,0,1,1,1,0,1,0,0,0,0
UI\UX дизайнер/Продуктовый дизайнер/Дизайнер мобильных приложений,https://hh.ru/vacancy/117144146,ВФМ Технолоджи,от 240000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик ВI (аналитической отчетности),https://hh.ru/vacancy/118129132,Т1,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик (модуль ЕФ Ценообразования),https://hh.ru/vacancy/118250469,Альфа-Банк,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Ведущий продуктовый дизайнер IOS и Android [МТС Защитник],https://hh.ru/vacancy/119057199,МТС,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Project Manager (IT),https://hh.ru/vacancy/117096863,idaproject,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
TechLead 1С,https://hh.ru/vacancy/118710989,СОГАЗ,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Backend Разработчик C#,https://hh.ru/vacancy/117593405,Интерфакс,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,1,0,0,1,0,0,0
Релиз-менеджер,https://hh.ru/vacancy/118046819,РСХБ-Интех,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer направления разработки витрин данных,https://hh.ru/vacancy/117768999,Т1,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель группы разработки/Team lead,https://hh.ru/vacancy/118210398,Articul,не указана,От 1 года до 3 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0,0
Project Manager IT,https://hh.ru/vacancy/116911053,ЕГЭLand,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0,0
"Программист для сайта интернет-магазина (Full-Stack, Laravel, Vue)",https://hh.ru/vacancy/118624803,Бессонов Олег Анатольевич,от 1500 до 1500 RUR,От 3 до 6 лет,Да,0,0,0,0,0,1,0,0,0,0,1,0,0
Backend Node.js разработчик,https://hh.ru/vacancy/110329334,X5 Digital,не указана,От 3 до 6 лет,Нет,0,0,1,0,1,1,0,0,0,0,0,0,1
Team Lead (React Native) в fashion tech,https://hh.ru/vacancy/119083600,CATAPULTO.RU,не указана,Более 6 лет,Да,0,0,0,0,0,0,0,1,0,0,0,0,0
Senior PHP Developer (Laravel),https://hh.ru/vacancy/118755033,Цифровые Сервисы,не указана,От 3 до 6 лет,Да,0,1,1,0,0,1,0,0,1,0,0,0,0
PHP Middle+/ Senior разработчик,https://hh.ru/vacancy/118846106,Премиум Бонус,не указана,От 3 до 6 лет,Да,0,0,1,0,1,0,1,0,0,1,0,0,0
Системный аналитик в Согаз-Жизнь,https://hh.ru/vacancy/118813614,СОГАЗ,не указана,От 3 до 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0,0
Бизнес-аналитик (CRM),https://hh.ru/vacancy/118508742,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Алго Дилер,https://hh.ru/vacancy/119155138,"Держава , АКБ",не указана,Нет опыта,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
