Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,PYTHON,TENSORFLOW,PYTORCH,SCIKIT_LEARN,PANDAS,NUMPY,MATPLOTLIB,SQL,DEEP_LEARNING,COMPUTER_VISION,NLP,MATH,GIT,DOCKER,CLOUD
Senior Data Scientist / Промо,https://hh.ru/vacancy/118975551,"МАГНИТ, Розничная сеть",не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sales Manager (MacroVision),https://hh.ru/vacancy/119289912,SberTech,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist (Advertising Platform),https://hh.ru/vacancy/118913310,Lamoda Tech,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Архитектор MLOps,https://hh.ru/vacancy/119128614,БАНК УРАЛСИБ,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Cloud инженер,https://hh.ru/vacancy/117652618,Рунити,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Team Lead Data Science,https://hh.ru/vacancy/119551277,Russ,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Middle Data Scientist (Core),https://hh.ru/vacancy/119343771,МегаФон,не указана,От 1 года до 3 лет,Да,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0
Data-Архитектор (IT),https://hh.ru/vacancy/117479132,МТ-ЛАБ,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Product Owner (ML Team),https://hh.ru/vacancy/119495674,DDX Fitness,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer ML,https://hh.ru/vacancy/119388338,Ростелеком,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"Data Scientist/Разработчик машинного обучения (ML, NLP, LLM) Middle",https://hh.ru/vacancy/117371174,B2B-Center,не указана,От 1 года до 3 лет,Да,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Middle ML - Инженер (ОС Astra Linux),https://hh.ru/vacancy/118468562,Группа компаний Астра,не указана,От 3 до 6 лет,Да,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ML Engineer,https://hh.ru/vacancy/118703959,Aston,не указана,От 1 года до 3 лет,Да,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
Senior Mlops/DevOps,https://hh.ru/vacancy/119777536,Альфа-Банк,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"Senior Data Analyst (""Рекомендации"")",https://hh.ru/vacancy/118718687,Okko,не указана,От 3 до 6 лет,Нет,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Архитектор,https://hh.ru/vacancy/119479078,Т1,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ML/DevOps Engineer,https://hh.ru/vacancy/118860377,Вайлд-Групп,от 150000 до 250000 RUR,От 1 года до 3 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Ведущий бизнес-аналитик AI/ML (Финансы/Учет) в Ростелеком | Трансформация процессов с ИИ,https://hh.ru/vacancy/119249439,Ростелеком,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Data Scientist (риски),https://hh.ru/vacancy/118509662,Ингосстрах,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ML Engineer/Data Scientist платформа КД Макс (Ценообразование и Управление выгодой),https://hh.ru/vacancy/119397195,X5 Tech,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
AI Tech Lead (LLM),https://hh.ru/vacancy/115949342,YADRO,не указана,Более 6 лет,Да,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
